2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;Centro;SE;"BELA VISTA"
2015-06-15;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;4;;;
2015-06-15;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-15;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-15;"SEM SELO";INDIVIDUAL;;Feminino;2;;;
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Feminino;0;;;
2015-06-15;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-15;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-15;"SEM SELO";INDIVIDUAL;;Feminino;3;Centro;SE;"BELA VISTA"
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;4;Centro;SE;SE
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-15;"SEM SELO";INDIVIDUAL;Parda;Masculino;0;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-15;"SEM SELO";COLETIVO;;;0;Oeste;LAPA;PERDIZES
2015-06-15;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;Oeste;LAPA;PERDIZES
2015-06-16;"SEM SELO";INDIVIDUAL;;;;Oeste;LAPA;PERDIZES
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;;;Centro;SE;REPUBLICA
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;;;Centro;SE;"BOM RETIRO"
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;Preta;Masculino;2;"Norte 1";FREGUESIA-BRASILANDIA;BRASILANDIA
2015-06-16;"SEM SELO";INDIVIDUAL;;Masculino;2;Centro;SE;"BOM RETIRO"
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;Parda;Masculino;3;"Leste 2";"SAO MIGUEL";"VILA JACUI"
2015-06-16;"SEM SELO";INDIVIDUAL;Branca;Masculino;2;Oeste;LAPA;LAPA
2015-06-16;"SEM SELO";INDIVIDUAL;Parda;Feminino;3;Centro;SE;"SANTA CECILIA"
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;Branca;Masculino;2;Centro;SE;REPUBLICA
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;Masculino;3;"Sul 2";"CAPELA DO SOCORRO";"CID DUTRA"
2015-06-16;"SEM SELO";INDIVIDUAL;Branca;Feminino;4;Oeste;PINHEIROS;PINHEIROS
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;Indígena;Masculino;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";COLETIVO;;;;Oeste;LAPA;JAGUARE
2015-06-16;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-16;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;;;
2015-06-16;"SEM SELO";COLETIVO;;;;Centro;SE;"BELA VISTA"
2015-06-16;"SEM SELO";INDIVIDUAL;Parda;Masculino;2;"Sul 2";"CAPELA DO SOCORRO";"CID DUTRA"
2015-06-17;"SEM SELO";INDIVIDUAL;Branca;Masculino;4;"Norte 2";SANTANA-TUCURUVI;SANTANA
2015-06-17;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-17;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-17;"SEM SELO";COLETIVO;;;8;Oeste;LAPA;PERDIZES
2015-06-17;"SEM SELO";COLETIVO;;;5;Oeste;BUTANTA;BUTANTA
2015-06-17;"SEM SELO";INDIVIDUAL;Branca;Feminino;4;;;
2015-06-17;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-17;"SEM SELO";INDIVIDUAL;;;;;;
2015-06-17;"SEM SELO";INDIVIDUAL;;Masculino;4;"Norte 2";SANTANA-TUCURUVI;SANTANA
2015-06-17;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;Centro;SE;LIBERDADE
2015-06-17;"SEM SELO";INDIVIDUAL;Branca;Feminino;3;Centro;SE;REPUBLICA
2015-06-17;"SEM SELO";INDIVIDUAL;;;;Centro;SE;SE
2015-06-17;"SEM SELO";COLETIVO;;;6;Centro;SE;"BELA VISTA"
2015-06-17;"SEM SELO";INDIVIDUAL;;Feminino;3;;;
2015-06-17;"SEM SELO";COLETIVO;;;1;"Sul 1";"VILA MARIANA";SAUDE
2015-06-17;"SEM SELO";INDIVIDUAL;Branca;Masculino;4;"Sul 1";"VILA MARIANA";SAUDE
2015-06-17;"SEM SELO";INDIVIDUAL;;;9;Centro;SE;REPUBLICA
2015-06-17;"SEM SELO";COLETIVO;;;5;Centro;SE;"BELA VISTA"
2015-06-17;"SEM SELO";INDIVIDUAL;Branca;Feminino;5;Oeste;PINHEIROS;"ALTO DE PINHEIROS"
2015-06-17;"SEM SELO";COLETIVO;;;2;Oeste;PINHEIROS;"ALTO DE PINHEIROS"
2015-06-17;"SEM SELO";COLETIVO;;;7;Oeste;PINHEIROS;"JD PAULISTA"
2015-06-17;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;Centro;SE;"SANTA CECILIA"
2015-06-17;"SEM SELO";COLETIVO;;;;"Leste 2";"CIDADE TIRADENTES";"CID TIRADENTES"
